Frequency Rank,Headword,Definitions,Morpheus,*Comments*,CL5,AG,AL,K&R,Wheelock,Shelmerdine,Part of Speech,Semantic Group
557,quantum,(adv.) how much? how greatly? how much! how greatly! as much as,,,,FALSE,FALSE,,,,Adverb,Pronouns/Interrogatives
311,quantus -a -um,"(interr.) how great? (rel.) of what size, amount, etc.",,,,FALSE,FALSE,,,,Pronoun,Pronouns/Interrogatives
786,quārē,how? why?,,,,FALSE,FALSE,,,,Adverb,Pronouns/Interrogatives
938,quasi,as if,,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
867,quattuor,four,,,,FALSE,FALSE,,,,Adjective: Numeral,Measurement
4,que,and (postpositive enclitic),,not in Morpheus?,,TRUE,FALSE,,,,Conjunction,Conjunctions/Adverbs
531,quemadmodum,"in what manner, how",,,,FALSE,FALSE,,,,Adverb,Pronouns/Interrogatives
518,queror querī questus sum,"complain of, lament",,,,FALSE,FALSE,,,,Verb: Deponent,Emotions
3,quī quae quod,"who, which, what",qui1,,,TRUE,FALSE,,,,Pronoun,Pronouns/Interrogatives
132,quia,because,,,,TRUE,FALSE,,,,Conjunction,Conjunctions/Adverbs
284,quīcumque quaecumque quodcumque,"who-, whatever",,,,FALSE,FALSE,,,,Pronoun,Pronouns/Interrogatives
126,quīdam quaedam quoddam,"a certain one, someone",,,,FALSE,FALSE,,,,Pronoun,Pronouns/Interrogatives
136,quidem,"certainly, at least",,,,TRUE,FALSE,,,,Adverb,Conjunctions/Adverbs
969,quiēscō quiēscere quiēvī quiētum,keep quiet; sleep,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Life and Being
456,quīn 1,"indeed, in fact",,,,,,,,,Adverb,Conjunctions/Adverbs
456,quīn 2,so that ... not (+ subj.),,split from other quīn,,FALSE,FALSE,,,,Conjunction,Conjunctions/Adverbs
499,quīppe,"(adv.) indeed, surely",,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
212,quis quid,who? what? which?,quis1,,,TRUE,FALSE,,,,Pronoun,Pronouns/Interrogatives
12,quisquam quicquam/quidquam,"any (single) person, anyone at all",,,,TRUE,FALSE,,,,Pronoun,Pronouns/Interrogatives
197,quisque quaeque quidque,"each one, everyone",,,,FALSE,FALSE,,,,Pronoun,Pronouns/Interrogatives
129,quisquis quidquid,"whoever, whichever",,,,FALSE,FALSE,,,,Pronoun,Pronouns/Interrogatives
305,quō,"for which reason; to or in what place; to what end, for what purpose?",,,,FALSE,FALSE,,,,Adverb,Pronouns/Interrogatives
831,quōmodo,"in what way, how?",,,,FALSE,FALSE,,,,Conjunction,Pronouns/Interrogatives
542,quondam,"formerly, once",,,,FALSE,FALSE,,,,Adverb,Time
510,quoniam,"since, seeing that",,,,FALSE,FALSE,,,,Conjunction,Conjunctions/Adverbs
76,quoque,"also, too",,,,TRUE,FALSE,,,,Conjunction,Conjunctions/Adverbs
970,quotiēns,how many times?,,,,FALSE,FALSE,,,,Adverb,Pronouns/Interrogatives
273,rapiō rapere rapuī raptum,"seize, tear away",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -iō,Violence
752,rārus -a -um,"wide apart, loose, thin; rare, seldom",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
256,ratiō -ōnis f.,"method, plan, reason",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Education/Knowledge
826,recēdō -cēdere -cessī -cessum,"step back, recoil, recede, withdraw",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Motion
781,recēns -ntis,"fresh, new",,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Time
319,recipiō -cipere -cēpī -ceptum,"take back, receive; sē recipere, betake oneself, go",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -iō,Verbs of Transport
823,rēctus -a -um,"straight, direct",,,,TRUE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
174,reddō -dere -didī -ditum,"return, give back",,,,TRUE,FALSE,,,,Verb: 3rd Conjugation -ō,Verbs of Transport
301,redeō -īre -iī -itum,"go back, return",,,,FALSE,FALSE,,,,Verb: Irregular,Motion
171,referō referre rettulī relātum,bring back; report,,,,FALSE,FALSE,,,,Verb: Irregular,Verbs of Transport
585,regiō -ōnis f.,"boundary, region",,,,TRUE,FALSE,,,,Noun: 3rd Declension,Geography
561,rēgius -a -um,"kingly, royal",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
121,rēgnum -ī n.,"kingship, kingdom",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Geography
554,regō regere rēxī rēctum,"guide, rule",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,The City
144,relinquō -linquere -līquī -lictum,abandon,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Motion
788,reliquus -a -um,"remaining, rest",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
774,reor rērī rātus sum,"think, imagine, suppose, deem",,,,FALSE,FALSE,,,,Verb: Deponent,Education/Knowledge
765,reperiō -perīre -pperī -pertum,"find, find out",,,,TRUE,FALSE,,,,Verb: 4th Conjugation,Education/Knowledge
651,repetō -petere -petīvī -petītum,"demand, exact; revisit; call to mind, recollect; repeat",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
38,rēs reī f.,"thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution)",,,,TRUE,FALSE,,,,Noun: 5th Declension,Life and Being
722,respicio -ere -spēxī -spectum,"look back, regard, consider",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -iō,Vision
535,respondeō -spondēre -spondī -spōnsum,answer,,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Speech/Oratory
647,retineō -tinēre -tinuī -tentum,"hold back, keep",,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Verbs of Compelling/Directing
888,reus -ī m.,defendant,,,,FALSE,FALSE,,,,Noun: 2nd Declension,Justice
995,revertō -vertere -vertī,turn back,,,,TRUE,FALSE,,,,Verb: 3rd Conjugation -ō,Motion
813,revocō -āre,"call back, recall",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Social Life
60,rēx rēgis m.,king,,,,FALSE,FALSE,,,,Noun: 3rd Declension,The City
874,rīdeō -ēre rīsī rīsum,"laugh, laugh at",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Emotions
662,rīpa -ae f.,bank of a river,,,,FALSE,FALSE,,,,Noun: 1st Declension,Earth and Water
551,rogō -āre,ask,,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Speech/Oratory
480,rumpō rumpere rūpī ruptum,"break, rupture",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Violence
440,rūrsus,"back, again",,,,FALSE,FALSE,,,,Adverb,Place
879,rūs rūris n.,country,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Geography
398,sacer sacra sacrum,"holy, sacred",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Religion
939,sacerdōs -dōtis m./f.,"priest, priestess",sacerdos1,,,FALSE,FALSE,,,,Noun: 3rd Declension,Religion
776,saeculum -ī n.,"generation, age, century",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Lengths of Time
145,saepe,often,,,,TRUE,FALSE,,,,Adverb,Time
244,saevus -a -um,"fierce, raging, wrathful",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
549,salūs -ūtis f.,"health, safety",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Life and Being
659,sānctus -a -um,"sacred, inviolable",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Religion
214,sanguis -inis m.,blood,,,,FALSE,FALSE,,,,Noun: 3rd Declension,The Body
946,sānus -a -um,"sound, sane",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Life and Being
453,sapiēns -ntis,wise man,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Education/Knowledge
797,sapientia -ae f.,wisdom,,,,FALSE,FALSE,,,,Noun: 1st Declension,Education/Knowledge
341,sat,"(adv.) enough, sufficiently",sat1,split from satis,,,,,,,Adverb,Measurement
341,satis,"(adv.) enough, sufficiently",satis1,,,TRUE,FALSE,,,,Adverb,Measurement
306,saxum -ī n.,"rock, cliff, crag",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Earth and Water
154,scelus -eris n.,"crime, sin",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Justice
971,scientia -ae f.,knowledge,,,,TRUE,FALSE,,,,Noun: 1st Declension,Education/Knowledge
889,scīlicet,"certainly, of course",,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
172,sciō -īre -īvī/-iī -ītum,know,,,,FALSE,FALSE,,,,Verb: 4th Conjugation,Education/Knowledge
568,scrībō scrībere scrīpsī scrīptum,write,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Writing/Poetry
836,secundus -a -um,following; favorable,secundus1,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
697,sēcūrus -a -um,"free from care, tranquil; careless",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
20,sed,but,,,,TRUE,FALSE,,,,Conjunction,Conjunctions/Adverbs
506,sedeō sedēre sēdī sessum,sit,,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,The House
403,sēdēs -is f.,"seat, abode, habitation",,,,FALSE,FALSE,,,,Noun: 3rd Declension,The House
789,semel,once,,,,FALSE,FALSE,,,,Adverb,Time
149,semper,"always, ever",,,,TRUE,FALSE,,,,Adverb,Time
329,senātus -ūs m.,senate,,,,FALSE,FALSE,,,,Noun: 4th Declension,The City
558,senex -is m.,"old man, elder; senior, older",,,,FALSE,FALSE,,,,Noun: 3rd Declension,People
793,sēnsus -ūs m.,"feeling, emotion, sense",sensus2,,,FALSE,FALSE,,,,Noun: 4th Declension,Emotions
586,sententia -ae f.,"opinion, judgment",,,,FALSE,FALSE,,,,Noun: 1st Declension,Education/Knowledge
302,sentiō sentīre sēnsī sēnsum,"perceive, feel, hear, see",,,,FALSE,FALSE,,,,Verb: 4th Conjugation,Other Senses
949,sepulcrum -ī n.,"place of burial, tomb, grave",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Life and Being
108,sequor sequī secūtus sum,follow,,,,TRUE,FALSE,,,,Verb: Deponent,Motion
575,sermō -ōnis m.,"conversation, discourse",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Speech/Oratory
883,serviō -īre,"be a slave, serve (+ dat.)",,,,FALSE,FALSE,,,,Verb: 4th Conjugation,The Household
289,servō -āre,"save, watch over",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,The Household
496,servus -ī m.,slave,servus2,,,FALSE,FALSE,,,,Noun: 2nd Declension,The Household
343,seu,whether → sīve,sive,,,,,,,,Conjunction,Conjunctions/Adverbs
343,seu … seu,whether ... or → sīve,sive,split from seu,,FALSE,FALSE,,,,Conjunction,Conjunctions/Adverbs
16,sī,if,,,,FALSE,FALSE,,,,Conjunction,Conjunctions/Adverbs
79,sīc,"in this manner, thus; sīc ... ut: in the same way as",,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
791,sīcut,just as,,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
359,sīdus -eris n.,"star, constellation",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Air and Fire
261,sīgnum -ī n.,"sign, standard, mark",,,,FALSE,FALSE,,,,Noun: 2nd Declension,War and Peace
234,silva -ae f.,"forest, grove",,,,TRUE,FALSE,,,,Noun: 1st Declension,Animals/Plants
414,similis -e,"like, similar",,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Personality Traits/Characteristics
274,simul,at the same time,,,,FALSE,FALSE,,,,Adverb,Time
104,sine,without (+ abl.),,,,TRUE,FALSE,,,,Preposition,Non-Directional Prepositions
507,singulī -ae -a,one each,singulus,"Morpheus says singulus, but L&S entry days see singuli.",,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
717,sinō sinere sīvī situm,"allow, let go",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
478,sinus -ūs m.,"fold of a garment; lap, bay, gulf",sinus1,,,FALSE,FALSE,,,,Noun: 4th Declension,Earth and Water
362,sīve,whether; sīve ... sīve: whether ... or → seu,,,,,,,,,Conjunction,Conjunctions/Adverbs
362,sīve … sīve,whether ... or → seu,,split from sīve,,FALSE,FALSE,,,,Conjunction,Conjunctions/Adverbs
372,socius -a -um,"friendly, allied",socius1,,,,,,,,Adjective: 1st and 2nd Declension,Social Life
372,socius -ī m.,"partner, comrade",socius2,split from socius -a -um,,TRUE,FALSE,,,,Noun: 2nd Declension,Social Life
320,sōl sōlis m.,sun,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Air and Fire
246,soleō -ēre -uī -itum,be accustomed,,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Personality Traits/Characteristics
897,sōlum,"only, merely",solus1,,,FALSE,FALSE,,,,Adverb,Measurement
176,sōlus -a -um,"only, alone",solus1,,,TRUE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
325,solvō solvere solvī solūtum,"release, set sail",,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Travel
438,somnus -ī m.,"sleep, slumber; (pl.) dreams",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Life and Being
583,sonō sonāre sonuī sonitum,"sound, resound",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Other Senses
497,soror -ōris f.,sister,,,,FALSE,FALSE,,,,Noun: 3rd Declension,The Household
639,sors sortis f.,"lot, fate, destiny; oracle",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Religion
532,spargō spargere sparsī sparsum,scatter,spargo1,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Earth and Water
426,spatium -ī n.,space,,,,FALSE,FALSE,,,,Noun: 2nd Declension,Air and Fire
599,speciēs -ēī f.,"aspect, appearance",,,,FALSE,FALSE,,,,Noun: 5th Declension,Vision
473,spectō -āre,"look at, consider",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Vision
648,spērō -āre,to hope,,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Emotions
232,spēs speī f.,hope,,,,FALSE,FALSE,,,,Noun: 5th Declension,Emotions
703,spīritus -ūs m.,"breath, life, spirit",,,,FALSE,FALSE,,,,Noun: 4th Declension,Life and Being
798,statim,immediately,,,,TRUE,FALSE,,,,Adverb,Time
678,statuō -ere -uī -ūtum,"set up, determine",,,,TRUE,FALSE,,,,Verb: 3rd Conjugation -ō,Justice
934,stella -ae f.,star,,,,FALSE,FALSE,,,,Noun: 1st Declension,Air and Fire
168,stō stāre stetī statum,stand,,,,TRUE,FALSE,,,,Verb: 1st Conjugation,Life and Being
989,studeō -ēre -uī,"be eager, be zealous, care for (+ dat.)",,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Emotions
450,studium -ī n.,"eagerness, zeal",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Emotions
118,sub,"under, close to (+acc. or abl.)",,,,FALSE,FALSE,,,,Preposition,Place
538,subeō -īre -iī -itum,go under; endure,,,,FALSE,FALSE,,,,Verb: Irregular,Motion
848,subitō,"suddenly, unexpectedly",,,,FALSE,FALSE,,,,Adverb,Time
17,sui sibi sē/sēsē,"him- her- itself, themselves",,,,FALSE,FALSE,,,,Pronoun,Pronouns/Interrogatives
2,sum esse fuī,"be, exist",sum1,,,TRUE,FALSE,,,,Verb: Irregular,Life and Being
454,sūmō sūmere sūmpsī sūmptum,take up,,,,TRUE,FALSE,,,,Verb: 3rd Conjugation -ō,Motion
401,super 1,over (adv.),super2,,,,,,,,Adverb,Place
401,super 2,over (prep. +acc.),super2,split from super adverb,,TRUE,FALSE,,,,Preposition,Place
656,superbus -a -um,"overbearing, proud, haughty",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
714,superī -ōrum m. pl.,"those above, i.e. the gods",superi,"Morpheus offers superi, but L&S just say see superus anyway ",,FALSE,FALSE,,,,Noun: 2nd Declension,Religion
668,superō -āre,"overcome, surpass, defeat",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,War and Peace
623,supersum -esse -fuī,"remain, survive; be superfluous (to)",,,,FALSE,FALSE,,,,Verb: Irregular,Place
99,superus -a -um,"situated above, upper",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Religion
683,supplicium -ī n.,"punishment, penalty",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Justice
588,suprā 1,"above, beyond (adv.)",,,,,,,,,Adverb,Place
588,suprā 2,"above, beyond (prep. +acc.)",,split from suprā adverb,,FALSE,FALSE,,,,Preposition,Place
570,surgō surgere surrēxī surrēctum,rise,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Earth and Water
937,suscipiō -cipere -cēpī ceptum,take up,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -iō,Verbs of Transport
762,sustineō sustinēre sustinuī sustentum,"hold up, sustain",,,,TRUE,FALSE,,,,Verb: 2nd Conjugation,Social Life
27,suus -a -um,"his own, her own, its own",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
369,taceō -ēre -uī -itum,be silent,,,,,,,,,Verb: 2nd Conjugation,Other Senses
369,tacitus -a -um,silent,tacitus1,"split from tacitus. Morpheus gives tacitus, but L&S say see taceo. ",,TRUE,FALSE,,,,Adjective: 1st and 2nd Declension,Other Senses
203,tālis tāle,such,,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Measurement
96,tam,"so, so much",,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
58,tamen,"nevertheless, still",,,,TRUE,FALSE,,,,Conjunction,Conjunctions/Adverbs
363,tamquam,"so as, just as",,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
427,tandem,finally,,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
534,tangō tangere tetigī tāctum,touch,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Other Senses
216,tantum,only,tantus,,,,,,,,Adverb,Measurement
216,tantummodo,only,tantus,split from tantum,,FALSE,FALSE,,,,Adverb,Measurement
105,tantus -a -um,"so great, so much",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
738,tardus -a -um,"slow, sluggish, lingering",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Time
386,tēctum -ī n.,"roof; building, house",,,,FALSE,FALSE,,,,Noun: 2nd Declension,The House
376,tegō tegere tēxī tēctum,"cover, conceal",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Deception
337,tellus tellūris f.,earth,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Earth and Water
255,tēlum -ī n.,"missile, weapon, spear",,,,FALSE,FALSE,,,,Noun: 2nd Declension,War and Peace
753,tempestas -tātis f.,"period of time, season; bad weather, storm",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Lengths of Time
485,templum -ī n.,consecrated ground; temple,,,,FALSE,FALSE,,,,Noun: 2nd Declension,Religion
430,temptō -āre,"try, test",tento,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Making/Doing
89,tempus -oris n.,time,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Time
529,tendō tendere tetendī tentum,"stretch, extend, direct (one’s steps or course)",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Travel
775,tenebrae -brārum f. pl.,"darkness, the shadows",,,,FALSE,FALSE,,,,Noun: 1st Declension,Vision
106,teneō -ēre -uī tentum,"hold, keep",,,,TRUE,FALSE,,,,Verb: 2nd Conjugation,Other Senses
490,tener -era -erum,tender,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Other Senses
474,tergum -ī n.,"back, rear; ā tergō: from the rear",,,,FALSE,FALSE,,,,Noun: 2nd Declension,The Body
70,terra -ae f.,land,,,,FALSE,FALSE,,,,Noun: 1st Declension,Earth and Water
705,terreō terrēre terruī territum,"terrify, frighten",,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Emotions
682,tertius -a -um,third,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
741,testis -is m.,witness,testis1,,,FALSE,FALSE,,,,Noun: 3rd Declension,Justice
153,timeō -ēre -uī,"to fear, to dread",,,,TRUE,FALSE,,,,Verb: 2nd Conjugation,Emotions
536,timor -ōris m.,fear,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Emotions
293,tollō tollere sustulī sublātum,"raise up, destroy",,,,FALSE,FALSE,,,,Verb: Irregular,Violence
259,tot,so many,,,,FALSE,FALSE,,,,Adverb,Measurement
78,tōtus -a -um,"whole, entire",totus1,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
297,trādō -dere -didī -ditum,"hand over, yield",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Business/Money
213,trahō trahere trāxī trāctum,"drag, draw",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
431,trānseō -īre -iī -itum,go across,,,,FALSE,FALSE,,,,Verb: Irregular,Travel
533,trēs tria,three,,,,FALSE,FALSE,,,,Adjective: Numeral,Measurement
807,tribūnus -ī m.,"tribune, title of various Roman officials, as mīlitum, plēbis, aerāriī",,,,FALSE,FALSE,,,,Noun: 2nd Declension,The City
275,trīstis -e,"sad, solemn, grim",,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Emotions
9,tū tuī tibi tē,you (sing.),,,,TRUE,FALSE,,,,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
56,tum,then,,,,,,,,,Adverb,Time
56,tunc,then,tunc,split from tum,,FALSE,FALSE,,,,Adverb,Time
323,turba -ae f.,"crowd, uproar",,,,FALSE,FALSE,,,,Noun: 1st Declension,The City
868,turbō -āre,"disturb, confuse",turbo1,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Speech/Oratory
377,turpis -e,"ugly, unsightly; disgraceful",,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Other Senses
365,tūtus -a -um,"safe, protected",tueor,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,War and Peace
44,tuus -a -um,your,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
92,ubi,"where, when",,,,TRUE,FALSE,,,,Adverb,Place
178,ūllus -a -um,"any, anyone",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
432,ultimus -a -um,"farthest, final, last, ultimate",ulter,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Geography
600,ultrā 1,"beyond, further (adv.)",ultra1,,,,,,,,Adverb,Place
600,ultrā 2,"beyond, further (prep. + acc.)",ultra1,split from adverb. ultra2 seems to be specifically the preposition in the elementary Lewis. ,,FALSE,FALSE,,,,Preposition,Place
257,umbra -ae f.,"shade, shadow",,,,FALSE,FALSE,,,,Noun: 1st Declension,Vision
482,umquam,ever,,,,TRUE,FALSE,,,,Adverb,Time
207,unda -ae f.,"wave, flowing water, water",,,,FALSE,FALSE,,,,Noun: 1st Declension,Earth and Water
300,unde,from where,,,,FALSE,FALSE,,,,Adverb,Place
686,undique,"from all sides, on all sides",,,,FALSE,FALSE,,,,Adverb,Place
53,ūnus -a -um,one,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
82,urbs urbis f.,city,,,,FALSE,FALSE,,,,Noun: 3rd Declension,The City
527,ūsque,up to; continuously,,,,FALSE,FALSE,,,,Adverb,Time
446,ūsus -ūs m.,"use, experience",usus2,,,FALSE,FALSE,,,,Noun: 4th Declension,Education/Knowledge
15,ut 1,as (+ indic.),ut,single entry for ut/uti with indicative and subjunctive divided into 4,,,,,,,Adverb,Conjunctions/Adverbs
15,ut 2,"so that, with the result that (+ subj.)",ut,subjunctive use is ut2 with elementary Lewis. single entry for ut/uti with indicative and subjunctive divided into 4,,,,,,,Adverb,Conjunctions/Adverbs
15,utī 1,as (+ indic.),ut,single entry for ut/uti with indicative and subjunctive divided into 4,,,,,,,Adverb,Conjunctions/Adverbs
15,utī 2,"so that, with the result that (+ subj.)",ut,subjunctive use is ut2 with elementary Lewis. single entry for ut/uti with indicative and subjunctive divided into 4,,TRUE,FALSE,,,,Adverb,Conjunctions/Adverbs
243,uterque utraque utrumque,each of two,uter3,,,FALSE,FALSE,,,,Conjunction,Measurement
850,ūtilis -e,useful,,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Making/Doing
330,ūtor ūtī ūsus sum,"use, consume, employ (+ abl.)",,,,TRUE,FALSE,,,,Verb: Deponent,Making/Doing
827,utrum,whether; utrum ... an: whether ... or,,,,FALSE,FALSE,,,,Conjunction,Conjunctions/Adverbs
552,uxor uxōris f.,wife,,,,FALSE,FALSE,,,,Noun: 3rd Declension,The Household
724,vacō vacāre,"be empty, open, unoccupied",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Measurement
673,vacuus -a -um,empty,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
539,valeō valēre valuī,"be strong, excel, be valid, prevail",,,,,,,,,Verb: 2nd Conjugation,Social Life
,valē,farewell!,,split from valeō,,FALSE,FALSE,,,,,
674,vagus -a -um,"wandering, shifting",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Travel
816,validus -a -um,strong,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
856,vanus -a -um,"empty; false, deceitful",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Deception
631,varius -a -um,"changing, varied, various",varius1,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Other Senses
684,vātēs -is m.,"poet, bard",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Writing/Poetry
307,ve,or (postpositive enclitic),,,,FALSE,FALSE,,,,Conjunction,Conjunctions/Adverbs
632,vehō vehere vēxī vectum,carry,,,,,,,,,Verb: 3rd Conjugation -ō,Travel
632,vehor vehī vectus sum,"travel, ride",veho,split from vehō,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Travel
141,vel,"or else, or; even",,,,,,,,,Conjunction,Conjunctions/Adverbs
141,vel ... vel,either … or,vel,split from vel,,FALSE,FALSE,,,,Conjunction,Conjunctions/Adverbs
447,velut,"even as, just as",,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
63,veniō venīre vēnī ventum,come,,,,TRUE,FALSE,,,,Verb: 4th Conjugation,Motion
269,ventus -ī m.,wind,,,,FALSE,FALSE,,,,Noun: 2nd Declension,Air and Fire
188,verbum -ī n.,word,,,,TRUE,FALSE,,,,Noun: 2nd Declension,Writing/Poetry
983,vērē,truly,verus,,,FALSE,FALSE,,,,Adverb,Speech/Oratory
884,vereor verērī veritus sum,"fear, stand in awe of",,,,FALSE,FALSE,,,,Verb: Deponent,Emotions
280,vērō,"in fact, certainly, without doubt", verus,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
288,vertō vertere vertī versum,turn,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Motion
410,vērus -a -um,"true,",,,,TRUE,FALSE,,,,Adjective: 1st and 2nd Declension,Speech/Oratory
282,vester vestra vestrum,your,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
716,vestīgium -ī n.,"footstep, footprint, track",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Travel
413,vestis -is f.,"garment, robe, clothing",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Life and Being
