Frequency Rank,Headword,Definitions,Morpheus,*Comments*,CL5,AG,AL,K&R,Wheelock,Shelmerdine,Part of Speech,Semantic Group
773,necesse (indecl. adj.),necessary,,,,TRUE,FALSE,,,,Adjective: Indeclinable,Business/Money
911,necessitās -tātis f.,"necessity, need",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Business/Money
541,nefās,"impiety, wickedness",,,,FALSE,FALSE,,,,Noun: Indeclinable,Justice
294,negō -āre,"deny, refuse",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Speech/Oratory
846,negōtium -ī n.,business,,,,FALSE,FALSE,,,,Noun: 2nd Declension,Business/Money
179,nēmō,"no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um)",,,,FALSE,FALSE,,,,Pronoun,Pronouns/Interrogatives
461,nemus nemoris n.,"grove, forest",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Animals/Plants
72,neque,"and not, nor; neque ... neque, neither ... nor; → nec",,,,TRUE,FALSE,,,,Conjunction,Conjunctions/Adverbs
525,nesciō -scīre,"not know, be ignorant",,,,FALSE,FALSE,,,,Verb: 4th Conjugation,Education/Knowledge
634,niger nigra nigrum,black,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Vision
55,nihil,nothing; not at all,,,,FALSE,FALSE,,,,Noun: Indeclinable,Measurement
55,nīl,nothing; not at all,nihil,split from nihil,,FALSE,FALSE,,,,Noun: Indeclinable,Measurement
841,nimis,excessively,,,,FALSE,FALSE,,,,Adverb,Personality Traits/Characteristics
841,nimium,excessively,nimium,split from nimis,,FALSE,FALSE,,,,Adverb,Personality Traits/Characteristics
502,nimius -a -um,"too much, excessive",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
100,nī,"if not, unless",ni,split from nisi,,FALSE,FALSE,,,,Conjunction,Conjunctions/Adverbs
100,nisi,"if not, unless",,,,FALSE,FALSE,,,,Conjunction,Conjunctions/Adverbs
455,nōbilis -e,"distinguished, noble; (as subst.) a nobleman or woman",,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Personality Traits/Characteristics
509,noceō nocēre nocuī,harm,,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Violence
458,nōlō nōlle nōluī,be unwilling,,,,FALSE,FALSE,,,,Verb: Irregular,Emotions
135,nōmen -inis n.,name,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Social Life
6,nōn,not,,,,TRUE,FALSE,,,,Adverb,Conjunctions/Adverbs
436,nōndum,not yet,,,,TRUE,FALSE,,,,Adverb,Conjunctions/Adverbs
51,nōs nostrum/nostrī nōbīs nōs,we,,,,TRUE,FALSE,,,,Pronoun,Pronouns/Interrogatives
347,nōscō nōscere nōvī nōtum,"learn, know",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Education/Knowledge
52,noster nostra nostrum,our,,,,TRUE,FALSE,,,,Pronoun,Pronouns/Interrogatives
477,nōtus -a -um,well-known,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
139,novus -a -um,new,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Time
119,nox noctis f.,night,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Lengths of Time
545,nūdus -a -um,"naked, bare",,,,TRUE,FALSE,,,,Adjective: 1st and 2nd Declension,The Body
49,nūllus -a -um,"not any, no one",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
924,num,interrogative particle implying negative answer,,,,TRUE,FALSE,,,,Adverb,Pronouns/Interrogatives
452,nūmen -inis n.,"divine will, deity",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Religion
338,numerus -ī m.,"number, amount",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Measurement
251,numquam,never,,,,TRUE,FALSE,,,,Adverb,Time
50,nunc,now,,,,TRUE,FALSE,,,,Adverb,Time
919,nūntius -ī m.,messenger; news,,,,FALSE,FALSE,,,,Noun: 2nd Declension,Travel
449,ob,"against, on account of (+acc)",,,,FALSE,FALSE,,,,Preposition,Place
801,occīdō -cīdere -cīdī -cīsum,"kill, cut down",occido1,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Violence
472,occupō -āre,"seize, occupy; anticipate, do a thing first (+ infin.)",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,War and Peace
677,occurrō -currere -cucurrī -cursum,run to meet; come into one’s mind,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Education/Knowledge
206,oculus -ī m.,eye,,,,FALSE,FALSE,,,,Noun: 2nd Declension,The Body
790,ōdī ōdisse,hate,,,,FALSE,FALSE,,,,Verb: Irregular,Emotions
522,odium -ī n.,hatred,odium1,,,FALSE,FALSE,,,,Noun: 2nd Declension,Emotions
812,offerō offerre obtulī oblātum,"present, offer, expose",,,,FALSE,FALSE,,,,Verb: Irregular,Verbs of Transport
607,officium -ī n.,"service, duty",,,,FALSE,FALSE,,,,Noun: 2nd Declension,The City
574,ōlim,"formerly, at that time",,,,FALSE,FALSE,,,,Adverb,Time
18,omnis -e,"all, every, as a whole",,,,TRUE,FALSE,,,,Adjective: 3rd Declension,Measurement
842,onus oneris n.,"load, burden",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Measurement
843,opera -ae f.,"labor, activity, work",,,,FALSE,FALSE,,,,Noun: 1st Declension,Business/Money
806,oportet -ēre -uit,"it is proper, right (+ acc. + infin.)",,,,TRUE,FALSE,,,,Verb: Impersonal,Social Life
635,oppidum -ī n.,town,,,,FALSE,FALSE,,,,Noun: 2nd Declension,The City
318,ops opis f.,"assistance, resources",ops1,,,FALSE,FALSE,,,,Noun: 3rd Declension,Business/Money
417,optō -āre,"choose, select",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Personality Traits/Characteristics
332,opus operis n.,work,opus1,,,FALSE,FALSE,,,,Noun: 3rd Declension,Business/Money
736,ōrātiō -ōnis f.,"speech, address",,,,TRUE,FALSE,,,,Noun: 3rd Declension,Speech/Oratory
322,orbis -is m.,circle; orbis terrārum: world,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Geography
