"referō, referre, rettulī, relātus",23,"to carry back, bring back, report",,
"rēgina, rēginae, f.",6,queen,,
"rēgnum, rēgnī, n.",2,"kingdom, royal power",,
"regō, regere, rēxī, rēctus",8,to rule,,
"relinquō, relinqere, relīquī, relictus",9,"to leave, abandon",,
"reliquus, reliqua, reliquum",13,"remaining, rest (of)",,
"requīrō, requīrere, requīsīvī (or -iī), requīsītus",28,"to search for; ask, inquire after; demand",,
"rēs pūblica, reī pūblicae, f.",16,"state, republic",,
"rēs, reī, f.",16,"thing, matter, business; court case",,
"resistō, resistere, restitī, — (often + dat.)",21,"to resist, oppose, make a stand",,
"respondeō, respondēre, respondī, respōnsus",19,"to answer, reply; correspond to",,
"rēx, rēgis, m.",7,king,,
"rīdeō, rīdēre, rīsī, rīsus",2,"to laugh, laugh at",,
"rogō, rogāre, rogāvī, rogātus",28,"to ask, ask for",,
"Rōma, Rōmae, f.",13,Rome,,
"Rōmānī, Rōmānōrum, m. pl.",6,the Romans,,
"Rōmānus, Rōmānī, Rōmānum",6,Roman,,
"Rōmulus, Rōmulī, m.",3,Romulus (legendary founder of Rome),,
"rosa, rosae, f.",1,rose,,
"rūs, rūris, n.",15,the country(side),,
"sacer, sacra, sacrum",20,sacred,,
saepe,4,often,,
"sapiēns, sapientis",20,"wise, sensible",,
"sapientia, sapientiae, f.",5,wisdom,,
"saxum, saxī, n.",4,"rock, stone; cliff",,
"scelus, sceleris, n.",18,"crime, wicked deed, wickedness",,
"sciō, scīre, scīvī, scītus",19,to know; know how to (+ inf.),,
"scrībō, scrībere, scrīpsī, scrīptus",8,to write,,
sē cōnferō,23,"to proceed, go",,
"secundus, secunda, secundum",11,second; favorable,,
sed,2,but,,
"sedeō, sedēre, sēdī, sessūrus",4,to sit,,
semper,4,always,,
"senātus, senātūs, m.",16,senate,,
"senex, senis, m.",18,old man,,
"sēnsus, sēnsūs, m.",27,"sense, perception; emotion; idea",,
"sentiō, sentīre, sēnsī, sēnsus",8,"to feel, perceive",,
"sequor, sequī, secūtus sum",22,"to follow, accompany; pursure",,
"serviō, servīre, servīvī or serviī, servītūrus (+ dat.)",9,to serve,,
"servus, servī, m.",17,"slave, servant",,
sī,12,if,,
sīc,11,"thus, so",,
"signum, signī, n.",17,"sign, token, signal; (military) standard",,
"silva, silvae, f.",3,"forest, wood",,
"similis, simile",12,"similar (to), like",,
sīn,27,"but if, if however",,
sine (+ abl.),6,without,,
"sinō, sinere, sīvī, sītus",20,"to allow, permit",,
"socius, sociī, m.",27,"companion, comrade, ally",,
"sōl, sōlis, m.",26,sun,,
"soleō, solēre, solitus sum",2,to be accustomed,,
"sōlus, sōla, sōlum",11,"alone, only",,
"spectō, spectāre, spectāvī, spectātus",13,"to watch, look at",,
"spērō, spērāre, spērāvī, spērātus",19,"to hope, hope for",,
"spēs, speī, f.",16,hope,,
statim,28,"immediately, at once",,
"stō, stāre, stetī, statūrus",14,to stand,,
"studium, studiī, n.",29,"eagerness, zeal; study",,
sub (+ abl.),5,"under, beneath",,
sub (+ acc.),5,"to the foot/base of, along under (implying motion)",,
"subeō, subīre, subiī (or -īvī) subitūrus",23,to go up; to undergo; to approach,,
subitō,11,suddenly,,
"sum, esse, fuī, futūrus",5,"to be, exist",,
super (+ acc.),15,"over, above, on (top of)",,
"superī, superōrum, m. pl.",20,gods,,
"superō, superāre, superāvī, superātus",1,"to overcome, conquer, surpass",,
"superus, supera, superum",20,"upper, higher, above",,
"surgō, surgere, surrēxī, surrēctus",14,"to get up, (a)rise",,
"suus, sua, suum",15,"his, her, its, their own",,
"taceō, tacēre, tacuī, tacitūrus",1,to be silent,,
"tālis, tāle",20,"such, of such a kind",,
tam,16,"so, to such a degree",,
tamen,9,"however, nevertheless, yet",,
tamquam,29,"as, just as, just like",,
tandem,4,finally,,
tantum,14,only,,
"tantus, tanta, tantum",14,"so much, so great",,
"tellūs, tellūris, f.",31,"the earth; land, ground",,
"tēlum, tēlī, n.",28,weapon; spear,,
"tempestās, tempestātis, f.",28,storm; weather,,
"templum, templī, n.",3,"temple, shrine",,
"temptō, temptāre, temptāvī, temptātus",17,"to try, attempt; test, prove",,
"tempus, temporis, n.",11,"time, period of time (e.g. a season); opportunity",,
"teneo, tenēre, tenuī, tentus",6,"to hold, posses, keep; restrain",,
"terra, terrae, f.",5,"land, earth, soil; country",,
"terreō, terrēre, terruī, territus",1,"to terrify, scare",,
"timeō, timēre, timuī, —",1,"to fear, be afraid (of)",,
"timor, timōris, m.",9,"fear, terror",,
"tollō, tollere, sustulī, sublātus",23,"to lift up, raise; remove, carry off, steal",,
tot,18,"so many, as many",,
totiēns,25,so often,,
"tōtus, tōta, tōtum",11,"whole, entire",,
"trādō, trādere, trādidī, trāditus",19,"to hand over, surrender; hand down, report",,
"trahō, trahere, trāxī, tractus",14,"to drag, pull; derive",,
trāns (+ acc.),4,"across, beyond",,
"trānseō, trānsīre, trānsiī (or -īvī) trānsitūrus",23,"to go across, cross",,
"tremō, tremere, tremuī, —",26,"to tremble, shake",,
"trēs, tria",11,three,,
"tristis, triste",20,sad; gloomy,,
"Trōia, Trōiae, f.",14,Troy,,
"Trōiānus, Trōiāna, Trōiānum",30,Trojan,,
"tū, vōs",7,"you (sg.), you (pl.)",,
tum,4,"then, at that time; next",,
tunc,6,then,,
"turba, turbae, f.",3,crowd,,
"turpis, turpe",21,"shameful, base; ugly, foul",,
"tuus, tua, tuum",5,"your, yours, your own (sg.)",,
ubi,12,when; where,,
"ūllus, ūlla, ūllum",11,any,,
"unda, undae, f.",14,"wave, waters; sea",,
unde,26,"from where, whence",,
undique,28,on all sides,,
"ūnus, ūna, ūnum",11,one,,
"urbs, urbis, f. ",10,city,,
ut 1,25,"in order that, so that",,
ut 2,32,as,,
"uter, utra, utrum",11,which? (of two),,
"uterque, utraque, utrumque",14,"both, each (of two)",,
"ūtilis, ūtile",29,"useful, profitable",,
utinam,24,"[signals a wish] if only, would that",,
"ūtor, ūtī, ūsus sum (+ abl.)",22,to use,,
"uxor, uxōris, f.",13,wife,,
"valē (sg.), valēte (pl.)",8,"goodbye, farewell",,
"valeō, valēre, valuī, valitūrus",8,"to be well, healthy; to be strong",,
"veniō, venīre, vēnī, ventūrus",8,to come,,
"ventus, ventī, m.",3,"wind, breeze",,
"verbum, verbī, n.",4,word,,
"vereor, verērī, veritus sum",27,"to fear, be afraid; respect",,
"vēritās, vēritātis, f.",8,truth,,
vērō,14,"in fact, truly, indeed",,
"vertō, vertere, vertī, versus",13,"to turn, turn around; destroy, change",,
"vērum, vērī, n.",29,"truth, what is true",,
"vērus, vēra, vērum",29,true ,,
"vescor, vescī, — (+ abl.)",22,"to eat, feed on",,
"vester, vestra, vestrum",5,"your, yours (pl.)",,
"vetō, vetāre, vetuī, vetitus",20,to forbid; order … not,,
"via, viae, f.",4,road; way,,
"victōria, victōriae, f.",27,victory,,
"videō, vidēre, vīdī, vīsus",1,to see,,
"videor, vidērī, vīsus sum",14,to seem; be seen; seem best to,,
"vincō, vincere, vīcī, victus",13,to conquer; win,,
"vīnum, vīnī, n.",17,wine,,
"vir, virī, m.",2,man; husband,,
"vīrēs, vīrium, f. pl.",23,strength,,
"virtūs, virtūtis, f.",7,"courage, excellence, virtue",,
"vīs, vīs, f.",23,"power, force, violence",,
"vīta, vītae, f.",6,life,,
"vītō, vītāre, vītāvī, vītātus",15,to avoid,,
"vīvō, vīvere, vīxī, —",14,"to live, be alive",,
"vocō, vocāre, vocāvī, vocātus",1,"to call, summon",,
"volō, velle, voluī, —",20,"to wish, want, be willing",,
"voluptās, voluptātis, f.",29,"pleasure, delight",,
"volvō, volvere, volvī, volūtus",14,"to roll, turn/twist around",,
"vōx, vōcis, f.",18,voice,,
"vulnerō, vulnerāre, vulnerāvī, vulnerātus",17,to wound,,
"vulnus, vulneris, n.",17,wound,,
"vultus, vultūs, m.",16,expression; face,,
