lemma	headword	definition	chapter
populus	"populus, populī, m."	"the people, a people, nation"	6
porto	"portō, portāre, portāvī, portātus"	"to carry, bring"	3
possum	"possum, posse, potuī, —"	"to be able, can"	7
post	post [+ acc.]	"after, behind"	4
postea	posteā	afterwards	26
postquam	postquam	"after, when"	12
postulo	"postulō, postulāre, postulāvī, postulātus"	"to demand, claim; prosecute"	20
potens	"potēns, potentis"	powerful; able	10
potior	"potior, potīrī, potītus sum"	"to get hold of, acquire [+ abl.]"	22
potus2	"pōtus, pōtūs, m."	drink	22
praebeo	"praebeō, praebēre, praebuī, praebitus"	"to show; offer, provide"	9
primo	prīmō	at first	32
primum	prīmum	"first, in the first place, for the first time"	30
primus	"prīmus, prīma, prīmum"	first	5
princeps	"prīnceps, prīncipis, m."	"leader, chief; first citizen, emperor"	17
prius	prius	"before, sooner"	30
pro	prō	in front of; on behalf of; instead of [+ abl.]	4
probo	"probō, probāre, probāvī, probātus"	"to approve (of); prove, show"	29
proelium	"proelium, proeliī, n."	battle	15
proficiscor	"proficīscor, proficīscī, profectus sum"	"to set out, depart"	22
prohibeo	"prohibeō, prohibēre, prohibuī, prohibitus"	"to prohibit, keep from; keep someone (acc.) from something (abl.)"	15
propinquus	"propinquus, propinqua, propinquum"	"near (to), neighboring; near, not far off [of time]"	22
propinquus	"propinquus, propinquī, m."	"relative, kinsman"	22
propter	propter	"because of, on account of [+ acc.]"	6
provincia	"prōvincia, prōvinciae, f."	province	15
puella	"puella, puellae, f."	girl	2
puer	"puer, puerī, m."	boy	2
pugno	"pugnō, pugnāre, pugnāvī, pugnātus"	to fight	3
pulcher	"pulcher, pulchra, pulchrum"	"beautiful, handsome; fine"	5
puto	"putō, putāre, putāvī, putātus"	"to think, consider; suppose"	19
quaero	"quaerō, quaerere, quaesīvī ( or -iī), quaesītus"	"to look for, seek; ask"	21
quam	quam	"(rather) than, as [in comparison]"	21
quam	quam	"how, how much; as ___ as possible [with superlatives]"	22
quamquam	quamquam	although	17
quantus	"quantus, quanta, quantum"	how much	25
qui	"quī, quae, quod"	"who, which, that"	13
qui	"quī, quae, quod"	which ___? what ___?	18
quia	quia	because	12
quidam	"quīdam, quaedam, quoddam"	"a certain ___, a sort of ___"	21
quidem	quidem	"indeed, certainly in fact"	25
quisquis	"quiquis, quicquid (quidquid)"	"whoever, whatever; everyone who"	26
quis	"quis, quid"	"who, what"	18
quis2	"quis, quid (= aliquis, aliquid)"	"someone, something, anyone, anything [with sī, nisi, num, nē]"	26
quod	quod	"because, since"	12
quomodo	quōmodo	how 	28
quoniam	quoniam	"since, seeing that"	21
quoque	quoque	also	26
quot	quot	how many?	28
quotiens	quotiēns	how often?	28
rapio	"rapiō, rapere, rapuī, raptus"	"to seize, snatch, carry off"	14
ratio	"ratiō, ratiōnis, f."	"reason, judgment; method"	11
recipio	"recipiō, recipere, recēpī, receptus"	"to receive, accept; take back, regain"	32
rectus	"rēctus, rēcta, rēctum"	"straight, upright; right; virtuous, honest"	24
redeo	"redeō, redīre, rediī (or -īvī) reditūrus"	"to go back, return"	23
refero	"referō, referre, rettulī, relātus"	"to carry back, bring back, report"	23
regina	"rēgina, rēginae, f."	queen	6
regnum 	"rēgnum, rēgnī, n."	"kingdom, royal power"	2
rego	"regō, regere, rēxī, rēctus"	to rule	8
relinquo	"relinquō, relinqere, relīquī, relictus"	"to leave, abandon"	9
reliquus	"reliquus, reliqua, reliquum"	"remaining, rest (of)"	13
requiro	"requīrō, requīrere, requīsīvī (or -iī), requīsītus"	"to search for; ask, inquire after; demand"	28
res	"rēs pūblica, reī pūblicae, f."	"state, republic"	16
res	"rēs, reī, f."	"thing, matter, business; court case"	16
resisto	"resistō, resistere, restitī, —"	"to resist, oppose, make a stand [often + dat.]"	21
respondeo	"respondeō, respondēre, respondī, respōnsus"	"to answer, reply; correspond to"	19
rex	"rēx, rēgis, m."	king	7
rideo	"rīdeō, rīdēre, rīsī, rīsus"	"to laugh, laugh at"	2
rogo	"rogō, rogāre, rogāvī, rogātus"	"to ask, ask for"	28
roma	"Rōma, Rōmae, f."	Rome	13
romanus	"Rōmānī, Rōmānōrum, m. pl."	the Romans	6
romanus	"Rōmānus, Rōmānī, Rōmānum"	Roman	6
romulus	"Rōmulus, Rōmulī, m."	Romulus (legendary founder of Rome)	3
rosa	"rosa, rosae, f."	rose	1
rus	"rūs, rūris, n."	the country(side)	15
sacer	"sacer, sacra, sacrum"	sacred	20
saepe	saepe	often	4
sapiens	"sapiēns, sapientis"	"wise, sensible"	20
sapientia	"sapientia, sapientiae, f."	wisdom	5
saxum	"saxum, saxī, n."	"rock, stone; cliff"	4
scelus	"scelus, sceleris, n."	"crime, wicked deed, wickedness"	18
scio	"sciō, scīre, scīvī, scītus"	to know; know how to [+ inf.]	19
scribo	"scrībō, scrībere, scrīpsī, scrīptus"	to write	8
confero	sē cōnferō	"to proceed, go"	23
secundus	"secundus, secunda, secundum"	second; favorable	11
sed	sed	but	2
sedeo	"sedeō, sedēre, sēdī, sessūrus"	to sit	4
semper	semper	always	4
senatus	"senātus, senātūs, m."	senate	16
senex	"senex, senis, m."	old man	18
sensus2	"sēnsus, sēnsūs, m."	"sense, perception; emotion; idea"	27
sentio	"sentiō, sentīre, sēnsī, sēnsus"	"to feel, perceive"	8
sequor	"sequor, sequī, secūtus sum"	"to follow, accompany; pursure"	22
servio	"serviō, servīre, servīvī or serviī, servītūrus"	to serve [+ dat.]	9
servus2	"servus, servī, m."	"slave, servant"	17
si	sī	if	12
sic	sīc	"thus, so"	11
signum	"signum, signī, n."	"sign, token, signal; (military) standard"	17
silva	"silva, silvae, f."	"forest, wood"	3
similis	"similis, simile"	"similar (to), like"	12
sin	sīn	"but if, if however"	27
sine	sine	without [+ abl.]	6
sino	"sinō, sinere, sīvī, sītus"	"to allow, permit"	20
socius2	"socius, sociī, m."	"companion, comrade, ally"	27
sol	"sōl, sōlis, m."	sun	26
soleo	"soleō, solēre, solitus sum"	to be accustomed	2
solus	"sōlus, sōla, sōlum"	"alone, only"	11
specto	"spectō, spectāre, spectāvī, spectātus"	"to watch, look at"	13
spero	"spērō, spērāre, spērāvī, spērātus"	"to hope, hope for"	19
spes	"spēs, speī, f."	hope	16
statim	statim	"immediately, at once"	28
sto	"stō, stāre, stetī, statūrus"	to stand	14
studium	"studium, studiī, n."	"eagerness, zeal; study"	29
sub	sub	"under, beneath [+ abl.]"	5
sub	sub	"to the foot/base of, along under [implying motion] [+ acc.]"	5
subeo	"subeō, subīre, subiī (or -īvī) subitūrus"	to go up; to undergo; to approach	23
subito	subitō	suddenly	11
sum	"sum, esse, fuī, futūrus"	"to be, exist"	5
super2	super	"over, above, on (top of) [+ acc.]"	15
superus	"superī, superōrum, m. pl."	gods	20
supero	"superō, superāre, superāvī, superātus"	"to overcome, conquer, surpass"	1
superus	"superus, supera, superum"	"upper, higher, above"	20
surgo	"surgō, surgere, surrēxī, surrēctus"	"to get up, (a)rise"	14
suus	"suus, sua, suum"	"his, her, its, their own"	15
taceo	"taceō, tacēre, tacuī, tacitūrus"	to be silent	1
talis	"tālis, tāle"	"such, of such a kind"	20
tam	tam	"so, to such a degree"	16
tamen	tamen	"however, nevertheless, yet"	9
tamquam	tamquam	"as, just as, just like"	29
tandem	tandem	finally	4
tantum2	tantum	only	14
tantus	"tantus, tanta, tantum"	"so much, so great"	14
tellus	"tellūs, tellūris, f."	"the earth; land, ground"	31
telum	"tēlum, tēlī, n."	weapon; spear	28
tempestas	"tempestās, tempestātis, f."	storm; weather	28
templum	"templum, templī, n."	"temple, shrine"	3
tempto	"temptō, temptāre, temptāvī, temptātus"	"to try, attempt; test, prove"	17
tempus	"tempus, temporis, n."	"time, period of time; opportunity"	11
teneo	"teneo, tenēre, tenuī, tentus"	"to hold, posses, keep; restrain"	6
terra	"terra, terrae, f."	"land, earth, soil; country"	5
terreo	"terreō, terrēre, terruī, territus"	"to terrify, scare"	1
timeo	"timeō, timēre, timuī, —"	"to fear, be afraid (of)"	1
timor	"timor, timōris, m."	"fear, terror"	9
tollo	"tollō, tollere, sustulī, sublātus"	"to lift up, raise; remove, carry off, steal"	23
tot	tot	"so many, as many"	18
totiens	totiēns	so often	25
totus	"tōtus, tōta, tōtum"	"whole, entire"	11
trado	"trādō, trādere, trādidī, trāditus"	"to hand over, surrender; hand down, report"	19
traho	"trahō, trahere, trāxī, tractus"	"to drag, pull; derive"	14
trans	trāns	"across, beyond [+ acc.]"	4
transeo	"trānseō, trānsīre, trānsiī (or -īvī) trānsitūrus"	"to go across, cross"	23
tremo	"tremō, tremere, tremuī, —"	"to tremble, shake"	26
tres	"trēs, tria"	three	11
tristis	"tristis, triste"	sad; gloomy	20
troia	"Trōia, Trōiae, f."	Troy	14
troianus	"Trōiānus, Trōiāna, Trōiānum"	Trojan	30
tu	"tū, tuī, tibi, tē, tē"	you (sg.)	7
tu	"vōs, vestrum (vestrī), vōbīs, vōs, vōbīs"	you (pl.)	7
tum	tum	"then, at that time; next"	4
tunc	tunc	then	6
turba	"turba, turbae, f."	crowd	3
turpis	"turpis, turpe"	"shameful, base; ugly, foul"	21
tuus	"tuus, tua, tuum"	"your, yours, your own (sg.)"	5
ubi	ubi	when	12
ubi	ubi	where	12
ullus	"ūllus, ūlla, ūllum"	any	11
unda	"unda, undae, f."	"wave, waters; sea"	14
unde	unde	"from where, whence"	26
undique	undique	on all sides	28
unus	"ūnus, ūna, ūnum"	one	11
urbs	"urbs, urbis, f. "	city	10
ut	ut	"in order that, so that"	25
ut	ut	as	32
uter3	"uter, utra, utrum"	which? (of two)	11
uterque	"uterque, utraque, utrumque"	"both, each (of two)"	14
utilis	"ūtilis, ūtile"	"useful, profitable"	29
utinam	utinam	"[signals a wish] if only, would that"	24
utor	"ūtor, ūtī, ūsus sum"	to use [+ abl.]	22
uxor	"uxor, uxōris, f."	wife	13
valeo	valē; valēte	"goodbye, farewell"	8
valeo	"valeō, valēre, valuī, valitūrus"	"to be well, healthy; to be strong"	8
venio	"veniō, venīre, vēnī, ventūrus"	to come	8
ventus	"ventus, ventī, m."	"wind, breeze"	3
verbum	"verbum, verbī, n."	word	4
vereor	"vereor, verērī, veritus sum"	"to fear, be afraid; respect"	27
veritas	"vēritās, vēritātis, f."	truth	8
vero	vērō	"in fact, truly, indeed"	14
verto	"vertō, vertere, vertī, versus"	"to turn, turn around; destroy, change"	13
verum2	"vērum, vērī, n."	"truth, what is true"	29
verus	"vērus, vēra, vērum"	true 	29
vescor	"vescor, vescī, —"	"to eat, feed on [+ abl.]"	22
vester	"vester, vestra, vestrum"	"your, yours (pl.)"	5
veto	"vetō, vetāre, vetuī, vetitus"	to forbid; order … not	20
via	"via, viae, f."	road; way	4
victoria	"victōria, victōriae, f."	victory	27
video	"videō, vidēre, vīdī, vīsus"	to see	1
video	"videor, vidērī, vīsus sum"	to seem; be seen; seem best to	14
vinco	"vincō, vincere, vīcī, victus"	to conquer; win	13
vinum	"vīnum, vīnī, n."	wine	17
vir	"vir, virī, m."	man; husband	2
vis	"vīrēs, vīrium, f. pl."	strength	23
virtus	"virtūs, virtūtis, f."	"courage, excellence, virtue"	7
vis	"vīs, vīs, f."	"power, force, violence"	23
vita	"vīta, vītae, f."	life	6
vito	"vītō, vītāre, vītāvī, vītātus"	to avoid	15
vivo	"vīvō, vīvere, vīxī, —"	"to live, be alive"	14
voco	"vocō, vocāre, vocāvī, vocātus"	"to call, summon"	1
volo	"volō, velle, voluī, —"	"to wish, want, be willing"	20
voluptas	"voluptās, voluptātis, f."	"pleasure, delight"	29
volvo	"volvō, volvere, volvī, volūtus"	"to roll, turn/twist around"	14
vox	"vōx, vōcis, f."	voice	18
vulnero	"vulnerō, vulnerāre, vulnerāvī, vulnerātus"	to wound	17
vulnus	"vulnus, vulneris, n."	wound	17
vultus	"vultus, vultūs, m."	expression; face	16
